Title,Category,Created,Author,Content,Link,Published,Tags,Images,Emotions,Food,Activity
"Jessica Hagy, Visualization Indexed",Major-Studio,11/14/19,Neil,"The closing sections of Hagy’s article reminded me of Lupi’s comments from last weeks reading regarding how visualizations can both be beautiful to look at but also be intellectually compelling. Should we always aim to please both the emotional and intellectual sides of the reader, or are there examples where we are only aiming at one of these aspects?

Reactive Data visualizations discusses the more complex side of data visualizations, their implementation and the need for model based approaches. While a model based approach can go far to expand the possibilities of an interactive visualization, the single threaded nature of javascript still limits more complex processing tasks. Do you think the increased popularity in more complex interactive visualizations will pull designers away from javascript into other development environments such as python and server side processing?",http://blogs.ischool.berkeley.edu/i247s12/files/2012/01/Visualization.Indexed.pdf,TRUE,Reading,,,,
Immersed in Unfolding Complex Systems,Major-Studio,11/21/19,Neil,"The AR article by Dominikus Baur makes augmented reality feel like it’s just at our fingertips. Even if AR becomes more readily available in the near future, will this technology be accessible for all? What are the equity implications for this new field? 

In the Immersed in Unfolding and Complex Systems reading, the authors discuss their role in visualizing data for scientists and the interplay between artistic computational form vs. scientific accuracy. At the end of the article they note “the distinction among artists, scientists, and engineers begins to disappear”. Though I like the idea of interdisciplinary work, can we really merge the role of scientist/visualizer when working with such complex information?",https://www.mat.ucsb.edu/Publications/putnam_OReilly2010.pdf,TRUE,Reading ,,,,
Weekly Assignment 1,Data-Structures,8/28/19,Neil,The task requires 10 URL's to be requested and saved as text files programatically.,https://github.com/neil-oliver/data-structures/tree/master/week01,TRUE,Assignment,,,,
Weekly Assignment 2,Data-Structures,9/4/19,Neil,"Using Node.js, read the AA text file from the previous weekly assignment task and store the contents of the file in a variable.",https://github.com/neil-oliver/data-structures/tree/master/week02,TRUE,Assignment,,,,
Weekly Assignment 3,Data-Structures,9/11/19,Neil,"Write a script that makes a request to the Texas A&M Geoservices Geocoding APIs for each address, using the address data you parsed in Weekly Assignment 2.",https://github.com/neil-oliver/data-structures/tree/master/week03,TRUE,Assignment,,,,
Weekly Assignment 4,Data-Structures,9/18/19,Neil,Design and create a database to store the AA data using Amazon RDS.,https://github.com/neil-oliver/data-structures/tree/master/week04,TRUE,Assignment,,,,
Weekly Assignment 5,Data-Structures,9/25/19,Neil,Design and create a database to be used in creating THIS BLOG! The database will be created using Amazon DynamoDB.,https://github.com/neil-oliver/data-structures/tree/master/week05,TRUE,Assignment,,,,
Weekly Assignment 6,Data-Structures,10/2/19,Neil,"Write queries for both the SQL and NoSQL databases that have been created, filtering, aggregating, and/or restructuring the data in the process.",https://github.com/neil-oliver/data-structures/tree/master/week06,TRUE,Assignment,,,,
Weekly Assignment 7,Data-Structures,10/16/19,Neil,"Parse and clean the rest of the AA data in all ten Manhattan ""zones"", and update/replace the data in your Postgres table(s).",https://github.com/neil-oliver/data-structures/tree/master/week07,TRUE,Assignment,,,,
Weekly Assignment 8,Data-Structures,10/23/19,Neil,Use an IoT development board and sensors to collect and log data to a local computer. Sketch the first iteration of the design of an interactive visualization of the data collected from the sensor.,https://github.com/neil-oliver/data-structures/tree/master/week08,TRUE,Assignment,,,,
Weekly Assignment 9,Data-Structures,10/30/19,Neil,Write the sensor data to a database.,https://github.com/neil-oliver/data-structures/tree/master/week09,TRUE,Assignment,,,,
Weekly Assignment 10,Data-Structures,11/6/19,Neil,Create endpoints to connect the databases to the design of a front-end interface.,https://github.com/neil-oliver/data-structures/tree/master/week10,TRUE,Assignment,,,,
Weekly Assignment 11,Data-Structures,11/13/19,Neil,Final designs for the interfaces for each of your three data sources.,https://github.com/neil-oliver/data-structures/tree/master/week11,TRUE,Assignment,,,,
Right Twice A Day,DVIA,9/25/19,Neil,"Create a visual representation of the current local time using only graphics primitives, symbols, and formal elements like color/texture/size — no text or alphanumeric characters!",https://github.com/neil-oliver/dvia-2019/tree/master/1.mapping-time,TRUE,Assignment,,,,
A Thousand Suns,DVIA,10/30/19,Neil,"For this second exercise, we'll be examining a simple time-series dataset: the history of nuclear testing by the eight (declared) nuclear nations. In the first phase of this project we will consider only the total number of test explosions across three dimensions:

1. the state conducting the test
2. the year in which it occurred
3. whether it was above- or below-ground",https://github.com/neil-oliver/dvia-2019/tree/master/2.mapping-quantities/project,TRUE,Assignment,,,,
Stones Unturned,DVIA,12/16/19,Neil,"In this exercise you will be concerned with the space on the screen as much as the marks you place on it. This will be true both because you'll be creating a traditional, cartographic map (for which space & position have obvious informational analogs) and because you'll be combining the map view with a second diagram of your own design that will exist in conversation with it.",https://github.com/neil-oliver/dvia-2019/tree/master/3.mapping-space/project,TRUE,Assignment,,,,
Mapping Space,DVIA,12/12/19,Neil,Final draft of the mapping space project was presented to the professor with good feedback.Now to focus on the design and contextualizing the visualzation before the final hand in next week. ,https://dvia.samizdat.co/2019/work/neil-oliver/3.mapping-space/project/,TRUE,Assignment,,,,
Final Assignment 1,Data-Structures,12/16/19,Neil,"Final project is complete and being submitted today! I am really proud of both the behind the scenes setup and the overall design (even if it may be considered a little too happy for AA). 

By far my favorite part is the sort by distance feature that is completed without using any personal data. While the website is fully functional, the design still needs to be updated to make it suitable for use on a mobile.

Read more on my github using the link below!",https://github.com/neil-oliver/data-structures/tree/master/final1,TRUE,Assignment,,,,
Final Assignment 2,Data-Structures,12/16/19,Neil,"The blog is fully functional! The design is quite different to my original sketches, but I really enjoyed creating something different without using any premade templates (accept the use of bootstrap). Text isnt always the most fun thing to present, but i am happy with the result and the colors kept me smiling while the workload was high. You can read about all of the technical details on my GitHub.",https://github.com/neil-oliver/data-structures/tree/master/final2,TRUE,Assignment,,,,
Final Assignment 3,Data-Structures,12/16/19,Neil,"The final piece of the puzzle. My temperature sensor page is setup and running well including an external data source. I did play around with D3 quite a lot of this project and learnt about transitions, but by far the most technically challenging part was the manipulation and filtering of the data for the different user selections and visualizations. Its been a good talking point between myself and my new roommate and its great that the design also works well on mobile. 

Mixed feelings now, i have learnt so much through these project but i am glad the semester is coming to a close. Let the winter break begin!",https://github.com/neil-oliver/data-structures/tree/master/final3,TRUE,Assignment,,,,
