time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-13T14:10:05.950Z,65.8879,-150.843,1.5,1.9,ml,,,,0.38,ak,ak019fy3vngk,2019-12-13T14:22:34.905Z,"98km NE of Tanana, Alaska",earthquake,,1,,,automatic,ak,ak
2019-12-13T14:06:15.913Z,62.9989,-151.0269,118.5,1.8,ml,,,,0.71,ak,ak019fy3utcg,2019-12-13T14:09:11.607Z,"88km NNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-12-13T13:59:46.800Z,38.8156662,-122.76017,1.63,0.4,md,9,116,0.01502,0.03,nc,nc73314286,2019-12-13T14:48:02.756Z,"3km WSW of Cobb, CA",earthquake,0.34,0.94,0.17,2,automatic,nc,nc
2019-12-13T13:55:11.820Z,38.774334,-122.7184982,2.01,0.16,md,6,112,0.01623,0.01,nc,nc73314281,2019-12-13T14:36:03.685Z,"2km W of Anderson Springs, CA",earthquake,0.58,1.13,0.06,2,automatic,nc,nc
2019-12-13T13:49:57.511Z,59.823,-152.9089,110.1,2.4,ml,,,,0.63,ak,ak019fy3iord,2019-12-13T14:02:29.849Z,"60km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-13T13:48:40.910Z,38.7813339,-122.7235031,1.68,0.66,md,10,86,0.01051,0.02,nc,nc73314276,2019-12-13T14:25:03.625Z,"3km WNW of Anderson Springs, CA",earthquake,0.28,0.56,0.06,2,automatic,nc,nc
2019-12-13T13:47:05.260Z,38.7929993,-122.809166,1.97,0.36,md,7,98,0.006669,0.03,nc,nc73314271,2019-12-13T14:13:02.565Z,"5km WNW of The Geysers, CA",earthquake,0.35,1.08,0.23,2,automatic,nc,nc
2019-12-13T13:43:01.210Z,35.9411667,-117.6986667,9.03,0.83,ml,8,125,0.07888,0.09,ci,ci39229488,2019-12-13T14:28:16.162Z,"19km E of Little Lake, CA",earthquake,0.37,1.09,0.078,9,reviewed,ci,ci
2019-12-13T13:39:20.940Z,35.9253333,-117.6653333,3.61,0.95,ml,16,78,0.05267,0.11,ci,ci39229480,2019-12-13T16:30:42.628Z,"22km E of Little Lake, CA",earthquake,0.19,0.39,0.138,9,reviewed,ci,ci
2019-12-13T13:26:19.010Z,35.9095,-117.708,1.63,0.83,ml,10,94,0.09016,0.15,ci,ci39229464,2019-12-13T13:30:39.230Z,"18km E of Little Lake, CA",earthquake,0.33,0.65,0.213,9,automatic,ci,ci
2019-12-13T13:24:57.170Z,38.8330002,-122.8073349,2.44,0.56,md,7,137,0.009827,0.01,nc,nc73314261,2019-12-13T15:33:05.030Z,"7km W of Cobb, CA",earthquake,0.63,0.93,,1,automatic,nc,nc
2019-12-13T13:24:45.750Z,19.1553326,-155.4801636,29.95,1.85,md,50,164,0.09425,0.13,hv,hv71277446,2019-12-13T13:27:55.510Z,"5km S of Pahala, Hawaii",earthquake,0.65,0.87,0.21,20,automatic,hv,hv
2019-12-13T13:03:00.220Z,45.0475,-111.8458333,6.17,0.75,ml,9,103,0.231,0.03,mb,mb80374984,2019-12-13T16:08:38.240Z,"28km SSE of Virginia City, Montana",earthquake,0.24,2.47,0.049,2,reviewed,mb,mb
2019-12-13T13:01:25.838Z,65.2513,-162.9032,14.6,2.8,ml,,,,0.93,ak,ak019fy38bu2,2019-12-13T13:16:42.040Z,"145km NE of Nome, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-13T12:50:13.330Z,35.633,-117.4366667,5.13,0.81,ml,14,132,0.05085,0.14,ci,ci39229456,2019-12-13T14:28:43.459Z,"15km S of Searles Valley, CA",earthquake,0.33,0.53,0.087,6,reviewed,ci,ci
2019-12-13T12:45:37.790Z,33.3556667,-116.3416667,10.87,1.64,ml,65,46,0.02766,0.2,ci,ci39229448,2019-12-13T14:28:53.459Z,"12km NNE of Borrego Springs, CA",earthquake,0.22,0.37,0.219,26,reviewed,ci,ci
2019-12-13T12:43:16.317Z,-7.1571,129.0413,155.93,4.9,mb,,38,2.383,0.92,us,us60006r0j,2019-12-13T13:01:48.040Z,"265km WNW of Saumlaki, Indonesia",earthquake,7.6,7.6,0.083,46,reviewed,us,us
2019-12-13T12:35:42.562Z,59.9985,-150.528,39.4,1.8,ml,,,,0.63,ak,ak019fy2u7yo,2019-12-13T12:47:52.271Z,"51km NE of Fritz Creek, Alaska",earthquake,,1.7,,,automatic,ak,ak
2019-12-13T12:33:57.900Z,35.9131667,-117.7053333,2.82,0.74,ml,17,68,0.08707,0.11,ci,ci39229440,2019-12-13T16:38:34.242Z,"18km E of Little Lake, CA",earthquake,0.19,0.74,0.154,9,reviewed,ci,ci
2019-12-13T12:28:45.377Z,61.793,-149.4944,42.8,1.6,ml,,,,0.37,ak,ak019fy2sq61,2019-12-13T12:32:09.097Z,"14km WNW of Fishhook, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-13T12:20:22.880Z,45.0371667,-111.8661667,3.65,1.2,ml,16,92,0.232,0.23,mb,mb80374959,2019-12-13T15:19:44.830Z,"29km SSE of Virginia City, Montana",earthquake,0.62,11.54,0.088,5,reviewed,mb,mb
2019-12-13T12:19:29.680Z,35.0421667,-119.0421667,12.52,1.51,ml,30,75,0.1466,0.23,ci,ci39229432,2019-12-13T16:27:10.925Z,"15km NW of Grapevine, CA",earthquake,0.27,1.02,0.145,19,reviewed,ci,ci
2019-12-13T12:16:21.160Z,36.0951667,-117.8548333,4.1,1.04,ml,8,211,0.09188,0.03,ci,ci37431573,2019-12-13T16:41:32.358Z,"10km ENE of Coso Junction, CA",earthquake,0.22,0.33,0.18,2,reviewed,ci,ci
2019-12-13T12:16:00.380Z,36.0993333,-117.8463333,1.05,0.95,ml,15,180,0.09813,0.16,ci,ci39229424,2019-12-13T16:43:08.408Z,"11km ENE of Coso Junction, CA",earthquake,0.42,0.35,0.151,14,reviewed,ci,ci
2019-12-13T12:15:38.590Z,35.774,-117.5645,7.63,0.34,ml,6,171,0.04955,0.09,ci,ci37431581,2019-12-13T16:50:29.680Z,"14km W of Searles Valley, CA",earthquake,0.53,0.62,0.069,1,reviewed,ci,ci
2019-12-13T12:10:35.310Z,33.8786667,-116.9995,13.34,0.84,ml,25,112,0.1701,0.17,ci,ci39229416,2019-12-13T14:28:59.459Z,"6km SSW of Beaumont, CA",earthquake,0.34,0.92,0.185,29,reviewed,ci,ci
2019-12-13T11:57:38.549Z,36.27333333,-97.63883333,7.37,2.13,ml,80,26,0,0.17,ok,ok2019yjbt,2019-12-13T14:18:56.051Z,"23km E of Waukomis, Oklahoma",earthquake,,0.4,0.17,19,reviewed,ok,ok
2019-12-13T11:57:02.643Z,62.9046,-151.5733,15.6,2.1,ml,,,,1.36,ak,ak019fy2df28,2019-12-13T12:01:22.720Z,"99km NW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-13T11:52:31.030Z,38.8128319,-122.8081665,1.46,0.61,md,10,88,0.01065,0.02,nc,nc73314251,2019-12-13T13:59:03.489Z,"6km NW of The Geysers, CA",earthquake,0.29,0.59,0.35,2,automatic,nc,nc
2019-12-13T11:48:58.250Z,33.818,-116.2021667,6.86,0.86,ml,34,74,0.0266,0.23,ci,ci39229408,2019-12-13T11:52:43.624Z,"11km N of Indio, CA",earthquake,0.42,0.7,0.14,22,automatic,ci,ci
2019-12-13T11:46:39.110Z,18.4578,-67.5358,19,2.35,md,17,305,0.0927,0.15,pr,pr2019347008,2019-12-13T12:18:22.040Z,"32km WNW of Rincon, Puerto Rico",earthquake,1.28,0.47,0.37,13,reviewed,pr,pr
2019-12-13T11:42:06.530Z,38.7579994,-122.7236633,1.42,0.85,md,10,156,0.01714,0.02,nc,nc73314246,2019-12-13T13:33:04.358Z,"3km SW of Anderson Springs, CA",earthquake,0.37,0.51,0.32,3,automatic,nc,nc
2019-12-13T11:39:02.623Z,62.3312,-150.5131,14.2,1.8,ml,,,,0.61,ak,ak019fy29k62,2019-12-13T11:45:28.865Z,"20km W of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-13T11:38:10.130Z,35.6266667,-117.4833333,8.73,0.81,ml,12,120,0.02804,0.12,ci,ci39229400,2019-12-13T14:29:15.460Z,"17km SSW of Searles Valley, CA",earthquake,0.46,0.85,0.229,6,reviewed,ci,ci
2019-12-13T11:36:14.050Z,19.3623333,-155.2076721,7.39,2.19,ml,9,207,0.01358,0.11,hv,hv71277371,2019-12-13T11:41:52.710Z,"8km SSE of Volcano, Hawaii",earthquake,2.21,1.01,4.05,3,automatic,hv,hv
2019-12-13T11:32:36.030Z,32.1498333,-116.7068333,15.66,1.44,ml,23,228,0.1669,0.16,ci,ci39229392,2019-12-13T15:47:37.270Z,"21km ESE of Primo Tapia, B.C., MX",earthquake,0.58,0.71,0.131,12,reviewed,ci,ci
2019-12-13T11:08:22.940Z,19.3926659,-155.2200012,0.39,2.35,md,22,122,0.01926,0.2,hv,hv71277351,2019-12-13T11:14:05.530Z,"4km SSE of Volcano, Hawaii",earthquake,0.48,0.43,0.35,9,automatic,hv,hv
2019-12-13T10:57:20.140Z,33.5315,-116.559,15.1,0.73,ml,33,41,0.03492,0.17,ci,ci39229384,2019-12-13T14:29:14.461Z,"11km ESE of Anza, CA",earthquake,0.24,0.37,0.207,24,reviewed,ci,ci
2019-12-13T10:28:45.730Z,35.8608333,-117.6971667,4.62,1.22,ml,20,73,0.07582,0.15,ci,ci39229376,2019-12-13T10:32:27.605Z,"21km ESE of Little Lake, CA",earthquake,0.22,0.52,0.159,19,automatic,ci,ci
2019-12-13T10:26:05.210Z,63.4404,-147.6764,0,1.9,ml,,,,1.08,ak,ak019fy1lcfu,2019-12-13T10:32:43.811Z,"63km E of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-13T10:21:15.570Z,35.8806667,-117.705,2.92,0.49,ml,17,70,0.08042,0.11,ci,ci39229368,2019-12-13T16:47:12.717Z,"19km ESE of Little Lake, CA",earthquake,0.17,0.23,0.087,5,reviewed,ci,ci
2019-12-13T10:20:16.890Z,46.3015,-111.2448333,5.42,0.63,md,4,245,0.154,0.03,mb,mb80374979,2019-12-13T15:58:41.140Z,"21km E of Townsend, Montana",earthquake,1.35,4.51,0.458,2,reviewed,mb,mb
2019-12-13T10:13:16.250Z,37.7698,-116.01,7.2,1.5,ml,19,139.73,0.225,0.31,nn,nn00712978,2019-12-13T10:30:27.817Z,"56km SE of Warm Springs, Nevada",earthquake,,25.9,,,automatic,nn,nn
2019-12-13T10:08:08.410Z,17.8665,-66.5663,10,1.96,md,4,295,0.1808,0.62,pr,pr2019347007,2019-12-13T11:56:31.471Z,"15km SSW of Potala Pastillo, Puerto Rico",earthquake,4.31,4.13,0.11,4,reviewed,pr,pr
2019-12-13T10:07:37.780Z,17.9265,-66.5808,13,1.89,md,8,249,0.119,0.2,pr,pr2019347006,2019-12-13T11:56:15.230Z,"10km SSE of Ponce, Puerto Rico",earthquake,1.14,0.73,0.32,8,reviewed,pr,pr
2019-12-13T10:00:31.800Z,35.8023333,-117.6186667,3.55,0.77,ml,19,57,0.02179,0.16,ci,ci39229360,2019-12-13T16:54:31.244Z,"20km WNW of Searles Valley, CA",earthquake,0.26,0.44,0.112,10,reviewed,ci,ci
2019-12-13T09:59:20.900Z,32.5435,-115.5893333,12.4,1.64,ml,24,142,0.1499,0.28,ci,ci39229352,2019-12-13T16:01:50.336Z,"4km S of Progreso, B.C., MX",earthquake,0.52,1.2,0.17,18,reviewed,ci,ci
2019-12-13T09:57:10.557Z,63.1194,-147.8286,2.8,1.8,ml,,,,0.77,ak,ak019fy16kfj,2019-12-13T10:01:36.688Z,"64km ESE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-13T09:51:53.070Z,33.5856667,-116.8096667,4.75,0.98,ml,43,45,0.03887,0.15,ci,ci39229344,2019-12-13T14:34:09.620Z,"13km WNW of Anza, CA",earthquake,0.16,0.36,0.136,27,reviewed,ci,ci
2019-12-13T09:40:53.300Z,33.9148333,-116.8981667,15.43,0.34,ml,15,114,0.06884,0.24,ci,ci39229336,2019-12-13T09:44:24.511Z,"2km WSW of Banning, CA",earthquake,0.87,1.2,0.041,7,automatic,ci,ci
2019-12-13T09:32:28.320Z,39.1142,-119.7237,11.8,1.5,ml,17,83.64,0.115,0.12,nn,nn00712975,2019-12-13T09:36:06.848Z,"6km SE of Carson City, Nevada",earthquake,,1,,,automatic,nn,nn
2019-12-13T09:24:46.490Z,45.04,-111.8518333,1.51,1.16,ml,16,94,0.235,0.2,mb,mb80374949,2019-12-13T15:14:41.830Z,"29km SSE of Virginia City, Montana",earthquake,0.43,1.84,0.208,6,reviewed,mb,mb
2019-12-13T09:24:33.210Z,36.0978333,-117.855,3.57,0.94,ml,17,56,0.01971,0.08,ci,ci39229328,2019-12-13T17:02:35.315Z,"10km NE of Coso Junction, CA",earthquake,0.15,0.24,0.207,14,reviewed,ci,ci
2019-12-13T09:16:27.140Z,45.0321667,-111.8613333,1.31,1.19,ml,16,94,0.238,0.15,mb,mb80374944,2019-12-13T15:07:27.240Z,"29km SSE of Virginia City, Montana",earthquake,0.41,1.79,0.142,5,reviewed,mb,mb
2019-12-13T09:06:35.050Z,36.6703,-115.6895,0.2,0.8,ml,8,312.66,0.297,0.2,nn,nn00712974,2019-12-13T09:34:06.350Z,"57km NNE of Pahrump, Nevada",earthquake,,16.2,,,automatic,nn,nn
2019-12-13T09:05:47.540Z,36.6394997,-121.2689972,6.94,1.33,md,7,217,0.04655,0.05,nc,nc73314206,2019-12-13T12:14:02.905Z,"16km NW of Pinnacles, CA",earthquake,0.86,2.11,0.15,6,automatic,nc,nc
2019-12-13T08:59:23.270Z,38.8419991,-122.8776703,2.31,0.91,md,16,140,0.007344,0.03,nc,nc73314201,2019-12-13T09:44:03.017Z,"13km NW of The Geysers, CA",earthquake,0.34,0.55,0.01,4,automatic,nc,nc
2019-12-13T08:56:44.140Z,45.034,-111.864,6.38,1.91,ml,24,60,0.235,0.17,mb,mb80374939,2019-12-13T14:57:43.720Z,"29km SSE of Virginia City, Montana",earthquake,0.32,2.42,0.088,14,reviewed,mb,mb
2019-12-13T08:48:32.630Z,36.001667,-120.5613327,2.24,1.82,md,20,90,0.02149,0.06,nc,nc73314191,2019-12-13T11:47:03.766Z,"16km NW of Parkfield, CA",earthquake,0.27,0.58,0.14,11,automatic,nc,nc
2019-12-13T08:46:30.280Z,34.4245,-117.811,6.51,0.67,ml,19,87,0.04411,0.12,ci,ci39229320,2019-12-13T16:32:47.641Z,"8km SSW of Llano, CA",earthquake,0.18,0.3,0.118,9,reviewed,ci,ci
2019-12-13T08:19:59.830Z,17.9295,-66.5803,8,2.07,md,5,204,0.4519,0.18,pr,pr2019347005,2019-12-13T11:55:59.759Z,"9km SSE of Ponce, Puerto Rico",earthquake,1.13,5.09,0.12,4,reviewed,pr,pr
2019-12-13T08:19:10.410Z,35.82083333,-98.10283333,7.03,1.76,ml,63,43,0.1619682163,0.29,ok,ok2019yiun,2019-12-13T14:22:25.802Z,"15km NW of Okarche, Oklahoma",earthquake,,0.7,0.2,14,reviewed,ok,ok
2019-12-13T08:13:00.995Z,61.7402,-151.2848,65.8,2.2,ml,,,,0.51,ak,ak019fy0boki,2019-12-13T08:20:27.002Z,"65km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-13T08:04:57.260Z,44.5845,-110.5955,1.47,1.11,md,12,104,0.03992,0.16,uu,uu60353467,2019-12-13T16:09:12.190Z,"23km NE of Old Faithful Geyser, Wyoming",earthquake,0.47,0.21,0.484,8,reviewed,uu,uu
2019-12-13T07:59:05.130Z,35.7876667,-117.6175,8.66,0.65,ml,12,96,0.03239,0.15,ci,ci39229312,2019-12-13T14:30:04.465Z,"19km NNE of Ridgecrest, CA",earthquake,0.42,0.72,0.167,8,reviewed,ci,ci
2019-12-13T07:50:40.510Z,36.6843,-115.7542,3.7,0.2,ml,11,257.53,0.129,0.13,nn,nn00712973,2019-12-13T09:07:26.785Z,"56km NNE of Pahrump, Nevada",earthquake,,1.3,,,automatic,nn,nn
2019-12-13T07:34:59.270Z,35.689,-117.5503333,6.94,1.22,ml,24,56,0.06854,0.18,ci,ci39229304,2019-12-13T14:34:13.160Z,"14km NE of Ridgecrest, CA",earthquake,0.28,0.74,0.155,17,reviewed,ci,ci
2019-12-13T07:19:46.216Z,60.4681,-152.322,89.3,1.7,ml,,,,0.53,ak,ak019fxzrmrb,2019-12-13T07:24:45.125Z,"23km E of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-13T07:12:38.360Z,19.3526667,-154.989,0.98,2.8,ml,23,208,0.09516,0.07,hv,hv71277151,2019-12-13T16:58:53.720Z,"14km SSW of Leilani Estates, Hawaii",earthquake,0.98,0.5,0.138,45,reviewed,hv,hv
2019-12-13T07:09:24.440Z,19.4888325,-155.4600067,-2.74,1.79,md,30,65,0.04091,0.3,hv,hv71277146,2019-12-13T07:28:53.783Z,"24km WNW of Volcano, Hawaii",earthquake,0.46,0.22,0.3,15,automatic,hv,hv
2019-12-13T07:06:04.800Z,33.5906667,-116.8103333,4.84,0.87,ml,45,46,0.03871,0.18,ci,ci39229296,2019-12-13T14:34:17.320Z,"13km WNW of Anza, CA",earthquake,0.22,0.74,0.087,27,reviewed,ci,ci
2019-12-13T07:02:58.972Z,62.4702,-148.9799,27.6,1.7,ml,,,,1.05,ak,ak019fxzo0le,2019-12-13T07:06:50.832Z,"56km NE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-13T07:02:53.220Z,17.911,-66.509,15,2.14,md,7,259,0.1638,0.43,pr,pr2019347004,2019-12-13T11:55:33.287Z,"8km S of Potala Pastillo, Puerto Rico",earthquake,1.71,1.85,0.2,4,reviewed,pr,pr
2019-12-13T07:02:43.630Z,38.8138351,-122.7346649,2.47,0.64,md,7,133,0.007937,0.04,nc,nc73314171,2019-12-13T07:18:02.204Z,"1km SW of Cobb, CA",earthquake,0.57,1.24,0.07,2,automatic,nc,nc
2019-12-13T07:01:38.850Z,33.3393333,-116.2276667,8.74,0.84,ml,24,171,0.07233,0.22,ci,ci39229288,2019-12-13T07:05:24.981Z,"16km NE of Borrego Springs, CA",earthquake,0.54,1,0.181,20,automatic,ci,ci
2019-12-13T06:52:23.420Z,35.7008333,-117.5255,8.27,1.08,ml,15,74,0.08627,0.17,ci,ci39229280,2019-12-13T14:30:46.038Z,"13km SW of Searles Valley, CA",earthquake,0.42,1.08,0.123,12,reviewed,ci,ci
2019-12-13T06:50:43.150Z,36.7003,-115.8085,0.9,0.8,ml,11,142.06,0.113,0.26,nn,nn00712970,2019-12-13T07:36:26.830Z,"56km NNE of Pahrump, Nevada",earthquake,,17.8,,,automatic,nn,nn
2019-12-13T06:49:19.080Z,34.2238333,-117.4665,10.09,2.17,ml,81,22,0.04493,0.21,ci,ci39229272,2019-12-13T15:02:28.656Z,"5km SE of Lytle Creek, CA",earthquake,0.19,0.4,0.158,25,reviewed,ci,ci
2019-12-13T06:49:08.640Z,35.6423333,-117.5785,8.64,1.4,ml,20,105,0.02165,0.16,ci,ci39229256,2019-12-13T15:03:30.380Z,"9km ENE of Ridgecrest, CA",earthquake,0.29,0.63,0.222,21,reviewed,ci,ci
2019-12-13T06:48:32.460Z,36.4983333,-89.5546667,9.07,1.45,md,22,55,0.04185,0.08,nm,nm60270507,2019-12-13T15:40:53.380Z,"10km SSW of New Madrid, Missouri",earthquake,0.17,0.52,0.124,18,reviewed,nm,nm
2019-12-13T06:45:04.258Z,59.8395,-152.1253,66.7,2,ml,,,,0.5,ak,ak019fxzbojg,2019-12-13T06:50:07.306Z,"17km WNW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-13T06:40:45.073Z,12.1622,-86.4778,173.92,4.7,mb,,126,0.204,0.65,us,us60006qxh,2019-12-13T15:46:09.559Z,"14km W of Ciudad Sandino, Nicaragua",earthquake,6.4,4.1,0.058,89,reviewed,us,us
2019-12-13T06:38:37.480Z,33.3261667,-116.4006667,6.88,0.92,ml,31,103,0.05944,0.17,ci,ci39229248,2019-12-13T15:03:34.430Z,"8km NNW of Borrego Springs, CA",earthquake,0.25,0.75,0.18,24,reviewed,ci,ci
2019-12-13T06:22:22.510Z,35.698,-117.526,8.93,1.49,ml,25,56,0.08353,0.18,ci,ci39229240,2019-12-13T15:03:38.420Z,"14km SW of Searles Valley, CA",earthquake,0.28,0.83,0.183,20,reviewed,ci,ci
2019-12-13T06:15:41.420Z,32.9806667,-116.424,13.1,0.7,ml,17,84,0.01433,0.17,ci,ci39229232,2019-12-13T15:03:02.985Z,"20km ESE of Julian, CA",earthquake,0.34,0.85,0.141,8,reviewed,ci,ci
2019-12-13T06:13:54.300Z,34.0373333,-117.2591667,14.97,1.08,ml,33,57,0.106,0.22,ci,ci39229224,2019-12-13T06:17:29.703Z,"1km S of Loma Linda, CA",earthquake,0.32,0.64,0.165,27,automatic,ci,ci
2019-12-13T06:02:38.610Z,35.909,-117.6756667,10.56,0.02,ml,5,160,0.04391,0.02,ci,ci39229216,2019-12-13T17:04:22.963Z,"21km E of Little Lake, CA",earthquake,0.27,0.35,0.055,2,reviewed,ci,ci
2019-12-13T06:00:06.240Z,32.6306667,-115.577,10.49,1.42,ml,19,184,0.08112,0.22,ci,ci39229208,2019-12-13T16:08:16.825Z,"6km N of Progreso, B.C., MX",earthquake,0.49,0.61,0.076,11,reviewed,ci,ci
2019-12-13T05:58:41.010Z,35.8403333,-117.6681667,1.41,1.03,ml,16,84,0.06244,0.22,ci,ci39229088,2019-12-13T06:02:23.595Z,"24km ESE of Little Lake, CA",earthquake,0.38,0.61,0.164,13,automatic,ci,ci
2019-12-13T05:41:19.106Z,61.2097,-150.0182,33.3,1.9,ml,,,,0.7,ak,ak019fxypf7t,2019-12-13T05:46:04.582Z,"6km W of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-12-13T05:38:55.940Z,38.7941666,-122.723999,1.08,1.7,md,23,55,0.006206,0.06,nc,nc73314161,2019-12-13T08:25:03.559Z,"3km S of Cobb, CA",earthquake,0.24,0.5,0.11,9,automatic,nc,nc
